chinese,english
我 正在 找 一份 兼職 的 工作,I'm looking for a part-time job
我 在 找 一間 出租 的 房間,I'm looking for a room for rent
我 在 找 我 的 隱形 眼鏡,I'm looking for my contact lens
我 感觉 还 不是 那么 饿,I'm not feeling that hungry yet
我 很 抱歉 回复 晚 了,I'm sorry for the late response
很 抱歉 我 忘 了 寫 作業,I'm sorry I forgot my homework
我 確定 你 永不 後 悔,I'm sure you'll never regret it
我 厭煩 了 他 對 我 說 教,I'm tired of him bawling me out
我 已經 告訴 你 真相 了,I've already told you the truth
我 一直 在 找 我 的 三腳架,I've been looking for my tripod
你 给 我 的 理由 够 多 了,I've had enough of your excuses
我 从没 这么 以 你 为 豪,I've never been so proud of you
我 從 沒 看過 那個 人,I've never seen that guy before
如果 他 不來 了 我們 不會 去,If he doesn't come we won't go
如果 你 弄乱 了 你 来 打扫,If you make a mess clean it up
如果 你 想要 你 可以 拥有 它,If you want it you can have it
如果 你 想要 的话 你 就 拿 吧,If you want it you can have it
我 的 房间 里 没有 时钟,In my room there are no clocks
我 不 知道 天色 變暗 了,It became dark before I knew it
据说 这 房子 是 个 鬼屋,It is said the house is haunted
他 砸坏 的 是 这 扇 窗,It is this window that he broke
他 可能 喜欢 他 的 工作,It may be that he likes his job
我 好像 丢 了 我 的 钥匙,It seems that I've lost my keys
雪 从 周 一下 到 周五,It snowed from Monday to Friday
對 我 說 什麼 都 是 沒用 的,It's no use telling me anything
到 了 做 點事 的 時候 了,It's time to get some work done
這裡 在 二月 時 非常 冷,It's very cold here in February
去年 夏天 我 去 意大利 旅行,Last summer I traveled to Italy
行與行 之間 要 留 一個 空間,Leave a space between the lines
把 你 的 雨傘 放在 走廊 裡,Leave your umbrella in the hall
樹葉 在 十月 開始 掉落 下來,Leaves begin to fall in October
让 我 知道 我 是否 需要 改变,Let me know if I need to change
讓 我 量量 你 的 血壓,Let me take your blood pressure
許多 朋友 來 為 我 送行,Many friends came to see me off
我 明天 可以 來 看 你 嗎,May I come and see you tomorrow
我 可以 看看 你 的 駕駛 執照 嗎,May I see your driver's license
我 可以 跟 你 共用 這張 桌子 嗎,May I share this table with you
也許 你 最好 和 我們 一起 來,Maybe you'd better come with us
我 阿姨 給我帶 來 了 一些 花,My aunt brought me some flowers
我 阿姨 做 了 一條 新 裙子 給我,My aunt made a new skirt for me
我 舅母 做 了 一條 新 裙子 給我,My aunt made a new skirt for me
我 姑姑 做 了 一條 新 裙子 給我,My aunt made a new skirt for me
我 的 夢 想 是 成為 一名 教師,My dream is to become a teacher
我 父親 沒 有 吃 很多 的 水果,My father didn't eat much fruit
我 父親 從 來 沒 有 出 過國,My father has never been abroad
我 父親 對 我 非常 生氣,My father is very angry with me
我 父親 修理 了 我 的 舊手 錶,My father repaired my old watch
我 的 朋友 邀請 我 去 吃 晚飯,My friends invited me to dinner
我 朋友 邀 我 共赴 晚餐,My friends invited me to supper
我 的 嗜好 是 收集 舊 玩具,My hobby is collecting old toys
我 的 嗜好 是 做 模型 飛機,My hobby is making model planes
我 的 房子 靠近 一個 公車 站牌,My house is close to a bus stop
我媽媽 為 我 做 了 一件 毛衣,My mother made a sweater for me
我 的 辦 公室 在 五樓,My office is on the fifth floor
我 的 问题 是 我 不 信任 你,My problem is I don't trust you
我 的 房間 在 樓 上 的 左邊,My room is upstairs on the left
從 我 的 房間 望出去 是 街道,My room looks out on the street
我 的 朋友 都 不 喝咖啡,None of my friends drink coffee
只有 成人 可以 看 那种 电影,Only adults may watch that film
抱歉 这 是 我 的 球拍,Pardon me but that's my racket
對 不起 你 會 講英語 嗎,Pardon me do you speak English
一个 人 只能 活 七十岁 左右,People live only about 70 years
请 你 给 我 一杯 水,Please give me a glass of water
請 幫 我 做 我 的 家庭 作業,Please help me with my homework
請 讓 我 為 你 拍照,Please let me take your picture
請 你 來 之前 打電話給 我,Please phone me before you come
带 我 向 你家 人 问好,Please say hello to your family
請 讓 我 看看 你 受傷 的 手臂,Please show me your injured arm
請 讓 我 看看 你 的 集郵冊,Please show me your stamp album
你 想 待 多久 就 待 多久,Please stay as long as you wish
請 告訴 我 應該 做 什麼,Please tell me what I should do
請 告訴 我 下 一步 去 哪裡,Please tell me where to go next
把 書 放在 你 找到 的 地方,Put the book where you found it
跑步 對 你 的 健康 有益,Running is good for your health
代 我 向 你 父親 問好,Say hello to your father for me
莎士 比亞 的 作品 太難讀 了,Shakespeare is too hard to read
她 要求 我們 別 吵 她,She asked us to leave her alone
她 買 了 兩 磅 的 奶油,She bought two pounds of butter
她 故意 把 窗戶 弄 壞 了,She broke the window on purpose
她 能 遊得 比 我 遠,She can swim further than I can
她 急忙 地清 掃 了 她 的 房間,She cleaned her room in a hurry
她 不 需要 做 那個 工作,She didn't need to do that work
她 不再 住 在 那裡 了,She doesn't live there any more
她 在 他们 家里 感觉 很 放松,She feels at ease in their home
她 揮 著手 向 他 打招呼,She greeted him waving her hand
她 面帶 大大的 笑容 向 我 招呼,She greeted me with a big smile
她 有 一整 籃 的 蘋果,She had a basket full of apples
她 有 一个 儿子 和 两个 女儿,She has a son and two daughters
她 是 个 很 坦率 的 人,She has a very open personality
她 已 經離開 了 辦 公室,She has already left the office
她 已 經死 了 十年 了,She has been dead for ten years
她 把 我 介紹給 她 父親,She introduced me to her father
她 在 找 她 的 車鑰匙,She is looking for her car keys
她 對 你 的 母親 很 熟悉,She knows your mother very well
她 留 了 很多 钱 给 她 儿子,She left her son a lot of money
她 非常 像 她 的 母亲,She looks a lot like her mother
她 又 犯 了 同樣 的 錯誤 了,She made the same mistake again
她 或许 知道 我们 在 这儿,She might know that we are here
她 昨天 一定 已經 做過 了,She must have done it yesterday
她 在 花園 裡種 了 玫瑰,She planted roses in the garden
她 在 鋼琴 上彈 了 一首 華爾滋 舞曲,She played a waltz on the piano
她 把 乾淨 的 床 單鋪 在 床上,She put clean sheets on the bed
她 為 我們 唱 了 一首 日文 歌,She sang a Japanese song for us
她 给 客人 看 了 她 的 宝宝,She showed the visitor her baby
她 把 自己 关 在 房里,She shut herself up in her room
她 整天 待 在 房子 裡,She stayed in the house all day
她 撿 起 了 一塊 鵝 卵石,She stooped to pick up a pebble
她 告訴 我 她 認識 我 的 哥哥,She told me she knew my brother
她 告訴 我們 道路 被 封閉 了,She told us the road was closed
她 搭 計程車 去 醫院 了,She took a taxi to the hospital
她 听到 那个 消息 后 惊呆 了,She was amazed to hear the news
她 忙 著 做 她 的 功課,She was busy doing her homework
她 不是 一個 很 好 的 鋼 琴家,She was not a very good pianist
我 偶尔 会 在 俱乐部 碰到 他,Sometimes I see him at the club
告诉 我 你 对 湘南 做 了 什么,Tell me what you did to Shounan
謝謝 你 來 跟 我 見面,Thank you for coming to meet me
那 是 值得 自豪 的 事,That's something to be proud of
這家 銀行 一 週前 被 搶 劫,The bank was held up a week ago
在 門口 的 自行 車是 我 的,The bicycle by the door is mine
巴士站 離 我們 的 學校 近,The bus stop is near our school
公共 汽車 每 10 分鐘 一班,The buses run every ten minutes
這輛 他 正在 開的車 不是 他 的,The car he's driving is not his
這 隻 狗 攻擊 了 這個 小男孩,The dog attacked the little boy
這 隻 狗 對 著 一個 小男孩 咆哮,The dog growled at a little boy
交 作业 的 截止 日期 是 下周一,The homework is due next Monday
這個 新藥 救 了 他 的 命,The new medicine saved his life
這個 老人 拄 著 一根 拐杖 走路,The old man walked with a stick
奖项 是 不会 授给 她 的,The prize won't be given to her
這條 路 對 汽車 來 說 太窄 了,The road is too narrow for cars
這個 傳聞後來 被 證明 是 真的 了,The rumor turned out to be true
學校 需要 一個 新 的 老師,The school needed a new teacher
领带 和 我 的 西装 不配,The tie doesn't go with my suit
老虎 從動物園 中 逃出 來 了,The tigers escaped from the zoo
今天 早上 火車 來 遲 了,The train was late this morning
世界 上 的 石油 快用 完 了,The world is running out of oil
這個 年 輕 的 女孩 淚流 滿面,The young girl burst into tears
昨晚 發生 了 一場 很大 的 火災,There was a big fire last night
這些 箱子 是 由 塑料 製 成 的,These boxes are made of plastic
這些 照相 機是 在 日本 製 造 的,These cameras are made in Japan
你 看到 的 這些 花 是 玫瑰,These flowers you see are roses
他們 都 去 了 這家 餐廳,They all went to the restaurant
他們 清理 了 街上 的 積雪,They cleared the street of snow
上個 月 他們 爬 了 富士山,They climbed Mt Fuji last week
他们 原谅 了 他 的 罪行,They forgave him for his crimes
他們 六個 月 前 結婚 了,They got married six months ago
他們 一 整年 都 必須 工作,They had to work all year round
他們 已經 在 這裡 一個 小時 了,They have been here for an hour
他們 要 他 再 做 一次 這個 工作,They made him do the work again
他們 三年 前 搬 到 了 這裡,They moved here three years ago
他们 把 小偷 绑 到 了 树上,They tied the thief to the tree
他們 通常 在 這個 房間裡 睡覺,They usually sleep in this room
這個 數據 一點 也 不 準確,This data isn't accurate at all
这个 大厅 可以 容纳 5000 个人,This hall can hold 5000 people
這是 一朵 非常 美麗 的 花,This is a very beautiful flower
這是 一本 非常 有趣 的 書,This is a very interesting book
这 只是 我们 之间 的 秘密,This is just between you and me
這是 城裡 最 糟糕 的 旅館,This is the worst hotel in town
这 就是 汤姆 想住 的 地方,This is where Tom wants to live
这 不是 我 喜欢 的 类型,This isn't the type that I like
这所 学校 是 1970 年 建成 的,This school was founded in 1970
這 首歌曲 是 由 福斯特 所寫 的,This song was written by Foster
这座 雕像 和 真人 的 尺寸 一样,This statue is as large as life
這塊 石頭 太重 了 無法 抬起 來,This stone is too heavy to lift
要 一直 誠實 是 不 容易 的,To be always honest is not easy
汤姆 差点 在 河里 淹死 了,Tom almost drowned in the river
湯姆 和 我 在 同一 個班裡,Tom and I are in the same class
湯姆 跟 我 一起 寫 了 一本 書,Tom and I wrote a book together
湯姆 和 瑪麗 在 電話裡 交流,Tom and Mary spoke on the phone
汤姆 要 我们 留 他 独自一人,Tom asked us to leave him alone
湯姆過 來 跟 我握 了 手,Tom came over and shook my hand
Tom   不想 让 Mary 走,Tom doesn't want to let Mary go
汤姆 不再 给 我 写信 了,Tom doesn't write to me anymore
汤姆 跟着 玛丽 进入 了 房间,Tom followed Mary into the room
汤姆 给 玛丽 冷 的 肩膀,Tom gave Mary the cold shoulder
湯姆 以前 從 不 向 我 說 謊,Tom had never lied to me before
汤姆 从没 见过 玛丽 这么 忙,Tom had never seen Mary so busy
湯姆 沒有 朋友 可以 一起 玩耍,Tom has no friends to play with
湯姆 沒 有 去 哪裡 的 打算,Tom has no plans to go anywhere
湯姆要 以 你 為 傲 了,Tom is going to be proud of you
汤姆 隐藏 着 一个 可怕 的 秘密,Tom is hiding a terrible secret
湯姆現 在 在 他 的 房間 裡學習,Tom is now studying in his room
湯姆 很 有 信心 不是 麼,Tom is very confident isn't he
汤姆 知道 我 不 喜欢 他,Tom knows that I don't like him
汤姆 需要 被 告知 怎么 做,Tom needs to be told what to do
汤姆 需要 更新 他 的 网站,Tom needs to update his website
汤姆 经常 在 课堂 上 睡着,Tom often falls asleep in class
汤姆 把 钱包 放在 了 桌子 上,Tom put his wallet on the table
汤姆 说 了 他 什么 也 没 看到,Tom said he didn't see anything
汤姆 给我发 了 一条 有趣 的 短信,Tom sent me an interesting text
湯姆 對 這個 計劃 有 興趣,Tom showed interest in the plan
湯姆 還是 不 確定 要 做 甚麼,Tom still isn't sure what to do
湯姆 告訴 我 我 不 該 去 做,Tom told me I shouldn't do that
汤姆 想 告诉 你 一些 事情,Tom wants to tell you something
汤姆 看 玛丽 画 一幅 画,Tom watched Mary draw a picture
湯姆 、 瑪麗 和 約翰 都 在 這裡,Tom Mary and John are all here
这 封信 是 玛丽 写 的 吗,Was this letter written by Mary
我们 为 她 的 安全 担忧,We are anxious about her safety
我们 晚饭 后 吃 新鲜 水果,We ate fresh fruit after dinner
我們 從 這裡 可以 聽到 海 的 聲音,We can hear the ocean from here
我們 不能 在 這裡 待 很長 時間,We can't stay in here very long
我們 在 那裡 抓 了 一些 大魚,We caught some large fish there
去年 夏天 我們 爬 了 富士山,We climbed Mt Fuji last summer
我们 不想 从 你 身上 要 任何 东西,We don't want anything from you
我們 捐血 來 幫助 這個 孩子,We gave blood to help the child
如用 現金 付款 我們 給予 九折 優惠,We give a 10% discount for cash
我們 在 學校 有 一個 早 午餐,We had an early lunch at school
昨晚 我們 這裡 發生 了 地震,We had an earthquake last night
六月 下 了 很多 天 的 雨,We have many rainy days in June
我們 希望 你 喜歡 這個 表演,We hope you will enjoy the show
我們 知道 人 皆 難免 一死,We know that all men are mortal
我們 知道 這是 不 可能 的,We know that this is impossible
我們 在 港口 裡 看到 了 許多船,We saw many ships in the harbor
我們 一 整晚 都 待 在 那裡,We stayed there the whole night
我們 每天 用 很多 的 水,We use a lot of water every day
我們 上 週 參觀 了 博物 館,We visited the museum last week
我們 從 前 很 窮 但 很快 樂,We were poor but we were happy
我們 去年 夏天 在 一個 農場 上 工作,We worked on a farm last summer
再 不 快点 就 迟到 了 噢,We'll be late if we don't hurry
我们 会 找到 解决办法 的 我 确信,We'll find a solution I'm sure
我們 要 等等 看會 發生 甚麼,We'll wait and see what happens
我們 過了 最 愉快 的 一天,We've had a most delightful day
你 今天 準時 上班 了 嗎,Were you on time for work today
你 在 学校 学些 什么 呀,What are you learning at school
你 把 我 的 眼鏡 怎麼 了,What did you do with my glasses
你 用 我 的 眼鏡 做 了 什麼,What did you do with my glasses
你 把 你 的 鞋 怎么 了,What did you do with your shoes
你 的 理論 是 以 什麼 為 基礎,What do you base your theory on
你 需要 這些 錢 做 什麼,What do you need this money for
你 想 让 我 再说 什么,What else do you want me to say
昨晚 你 發生 了 什麼 事,What happened to you last night
你 用 哪種 洗 髮 水,What kind of shampoo do you use
你 的 飛機 什麼 時候 起飛,What time does your plane leave
問題 是 下 一步 要 做 什麼,What to do next is the question
這個 字 的 意思 是 什麼,What's the meaning of this word
你 旅行 的 目的 是 什麼,What's the purpose of your trip
湯姆是 甚麼 時候 讓 你 去 做 的,When did Tom ask you to do that
你 什麼 時候 開始 打 高爾夫球,When did you begin playing golf
你 今天 將在 哪裡 吃 午餐,Where will you have lunch today
你 下 一步 想 去 哪裡,Where would you like to go next
這些 球拍 中 哪 一支 是 你 的,Which of these rackets is yours
誰 管 她 什麼 時候 結婚,Who cares when she gets married
谁 选 你 来 做 这个 任务,Who picked you for this mission
那個 正在 彈鋼琴 的 男人 是 誰,Who's the man playing the piano
誰 該 為 這次 事故 負責,Who's to blame for the accident
你 为什么 买 这么 多 曲奇,Why did you buy so many cookies
为什么 你 把 长凳 漆成 红色 了,Why did you paint the bench red
你 為 什麼 不 聽 我 的 忠告,Why didn't you follow my advice
野生 動物 住 在 森林 裡,Wild animals live in the forest
你 可以 等 我们 一下 吗,Will you excuse us for a moment
你 能 帮 我 说明 一下 规则 吗,Will you explain the rule to me
你 能 幫 我 搬 這張 桌子 嗎,Will you help me move this desk
請 你 告訴 我路 怎麼 走 好 嗎,Will you please show me the way
請 您給 我 指一 指路 好 嗎,Will you please show me the way
你 不 和 我 一起 喝点 茶 吗,Won't you have some tea with me
你 要 我 解釋 一下 嗎,Would you like me to explain it
我 為 你 解釋 一下 好 嗎,Would you like me to explain it
您 想 吃 点 什么 吗,Would you like something to eat
你 需要 茶 或者 别的 什么 吗,Would you like tea or something
你 愿意 和 我 跳舞 吗,Would you like to dance with me
您 想 吃 点 什么 吗,Would you like to eat something
請 你 把 鹽 遞過 來 好 嗎,Would you pass the salt please
你 走 或 留 随 你 高兴,You can go or stay as you wish
你 沒 有 必要 買 這本書,You didn't need to buy the book
你 不 知道 我 有 多 担心 啊,You don't know how worried I am
你 不必 這麼 大聲 說 話,You don't need to speak so loud
你 有 一雙 可愛的 眼睛 不是 嗎,You have lovely eyes don't you
你 省 了 我 好多 時間,You just saved me a lot of time
你 對 相 撲 知道 得 很多,You know quite a lot about Sumo
这 本书 你 该 还给 他,You must return the book to him
你 真的 很粗 魯 不是 嗎,You really are rude aren't you
你 真的 很 高 不是 嗎,You really are tall aren't you
你 說 你 有 重要 新聞,You said you had important news
你 應 該現 在 做功 課,You should do your homework now
你 應該 閉上 你 的 嘴,You should keep your mouth shut
你 应该 去 竞选 城市 委员会,You should run for city council
你 应该 直接 跟 汤姆 说,You should talk directly to Tom
你 最好 不要 再 去 那裡,You'd better not go there again
你 是 做 這份 工作 最好 的 人選,You're the best man for the job
你 是 我 唯一 能 信任 的 人,You're the only one I can trust
你 的 履歷給 我 留下 深刻 的 印象,Your CV has really impressed me
你 的 英語 進步 了 很多,Your English has improved a lot
你 的 腳踏車 和 我 的 很 相似,Your bicycle is similar to mine
你 的 椅子 和 我 的 很 像,Your chair is identical to mine
你 的 意見 跟 我 的 相似,Your opinion is similar to mine
你 的 问题 类似 于 我 的,Your problem is similar to mine
你 的 問題 和 我 的 相似,Your problem is similar to mine
你 衬衣 的 纽扣 快 掉 了,Your shirt button is coming off
你們 的 隊伍 比 我們 的強,Your team is stronger than ours
我 也 那样 觉得 她 附和 道,I think so too she chimed in
一架 飛機 在 這個 城市 上空 飛行,A plane is flying above the city
少 了 一个 戒指 和 一点 现金,A ring and some cash are missing
一 隻 老虎 逃出 了 動物園,A tiger has escaped from the zoo
过 两天 我们 的 食物 就 发完 了,After two days our food gave out
他 全家 都 在 农场 工作,All of his family work on a farm
誠實 的 人 從 不 偷 錢,An honest man never steals money
你 對 任何 藥物 過敏 嗎,Are you allergic to any medicine
tom 和 你 一起 離開 嗎,Are you and Tom leaving together
你 跟 湯姆 一起 工作 嗎,Are you and Tom working together
你 明天 要 去 上學 嗎,Are you going to school tomorrow
以 我 之 见 我 无话可说,As for me I have nothing to say
因為 他 生病 了 所以 他 不能 來,Because he's sick he can't come
顺便 问 一句 你 今晚 有空 吗,By the way are you free tonight
对 了 你 的 地址 是 什么,By the way what is your address
如果 你 發現 什麼 請 打給 我,Call me if you discover anything
我 可以 向 你 借 一些 錢,Can I borrow some money from you
我 可以 帶 喝 的 東西給 你 嗎,Can I get you something to drink
我 今天下午 可以 去 游泳 嗎,Can I go swimming this afternoon
我們 可以 在 這個 公園裡 玩四輪 溜冰 嗎,Can we roller-skate in this park
請 你 把 鹽 遞給 我 好 嗎,Can you pass me the salt please
您 能带 汤姆 上 医院 吗,Can you take Tom to the hospital
讓 我 看 你 一會兒 好 嗎,Could I see you a minute please
可以 跟 我 交換 房間 嗎,Could you exchange rooms with me
你 能 再 說 一次 嗎,Could you say that one more time
你 能 为 我 腾出 几分钟 时间 吗,Could you spare me a few minutes
你 找到 你 的 隱形 眼鏡 了 嗎,Did you find your contact lenses
你 去 看 藝術 展覽 了 嗎,Did you go to the art exhibition
你 沒 寫 信給 他 嗎,Didn't you write a letter to him
你 曾經 在 圖書館 讀書 嗎,Do you ever study in the library
你 有 更好 的 理由 嗎,Do you have a better explanation
你 有 这 扇门 的 钥匙 吗,Do you have the key to this door
你 知道 如何 打開 這個 箱子 嗎,Do you know how to open this box
你 知道 怎麼 說 英語 嗎,Do you know how to speak English
你 知道 她 喜歡 什麼 顏色 嗎,Do you know what color she likes
你 知道 他们 来自 哪里 吗,Do you know where they come from
你 真的 相信 那 故事 嗎,Do you really believe that story
你 真想 讓 湯姆 受苦 嗎,Do you really want Tom to suffer
你 认为 动物 有 灵魂 吗,Do you think animals have a soul
你 覺得 你 能 做 得 更好 嗎,Do you think you could do better
湯姆 今天 需要 留在 家裡 嗎,Does Tom need to stay home today
不要 再 碰 我 的 东西,Don't ever touch my things again
不要 以 穿著 來判斷 一個 人,Don't judge a man by his clothes
别想 靠 你 自己 做 这事,Don't try to do this by yourself
英語 在 中國 也 被 學習 了,English is studied in China too
在 中國 的 人 也 研讀 英語 了,English is studied in China too
连 湯姆 都 不再 做 了,Even Tom doesn't do that anymore
即使 是 一個 小孩子 都 能 理解,Even a child can understand that
即使 是 小孩 也 能 讀 這本書,Even children can read this book
她 的 每首歌 都 长期 备受 欢迎,Every one of her songs was a hit
他 的 每首歌 都 长期 备受 欢迎,Every one of his songs was a hit
因為 那個 原因 他 失去 了 工作,For that reason he lost his job
请 你 给 我 一杯 水,Give me a glass of water please
在 他们 看见 你 之前 离开 这儿,Go away before they see you here
他 完成 他 的 功課 了 嗎,Has he finished his homework yet
你 吃 过 香蕉 派 吗,Have you ever eaten a banana pie
你 曾 試過 用水 肺潛水 嗎,Have you ever tried scuba diving
你 吃 完 你 的 午飯 了 嗎,Have you finished your lunch yet
你 最近 有 她 的 音訊 嗎,Have you heard from her recently
你 最近 有 他 的 消息 嗎,Have you heard from him recently
您 已经 吃 过药 了 吗,Have you taken your medicine yet
他 登廣告 出售 他 的 房子,He advertised his house for sale
他 在 學校 老 是 被 人 欺負,He always gets bullied at school
他 總 是 與 他 的 妻子 吵架,He always quarrels with his wife
他問 我 我 的 叔叔 住 在 哪裡,He asked me where my uncle lived
他 在 京都 買 了 一個 小 房子,He bought a small house in Kyoto
他給 自己 蓋 了 一棟 新房子,He built a new house for himself
他 從 芝加哥 遠道 而 來 了,He came all the way from Chicago
他 不 可能 做 那種 事,He cannot have done such a thing
他 让 我 相信 他 是 无辜 的,He convinced me of his innocence
他 在 花园里 砍 了 一棵树,He cut down a tree in his garden
他 砍 了 花园里 的 一棵树,He cut down a tree in his garden
他 沒 有 去 我 也 沒 去,He didn't go and I didn't either
他 沒 有 回答 我 的 問題,He didn't respond to my question
他 不 喜歡 搭 飛機 旅行,He doesn't like traveling by air
他 詳細地 解釋 了 他 的 計劃,He explained his plans in detail
他 睡 著 了 但 收音 機還 開著,He fell asleep with the radio on
他 在 桌子 底下 發現 了 這個 盒子,He found the box under the table
他 因 我 喝酒 而 訓斥 我,He gave me a lecture on drinking
他 在 早餐 前洗 了 个 澡,He had a shower before breakfast
他 有 充分 的 理由 這樣 做,He had every reason for doing so
昨晚 他 的 車被 偷 了,He had his car stolen last night
他 有 一个 兄弟 和 两个 姐妹,He has a brother and two sisters
他 有 很 好 的 英語 能力,He has a good command of English
他 要 撫養 一 大家 人,He has a large family to support
他 幾乎 已經 完成 這個 工作 了,He has all but finished the work
他 去過 歐洲 很 多次 了,He has been to Europe many times
他 还 没回 我 的 信,He hasn't answered my letter yet
他 把 他 的 女兒 介紹給 我 認識,He introduced his daughter to me
他 獨立 於 他 的 父母,He is independent of his parents
他 不是 医生 他 是 教师,He is not a doctor but a teacher
他 不是 歌手 但是 个 演员,He is not a singer but an actor
他够 大 了 可以 独自 旅行 了,He is old enough to travel alone
他 是 我 部門 的 主管,He is the chief of my department
他 是 兩個 孩子 的 父親,He is the father of two children
他 習慣 在 公眾 場合 說 話,He is used to speaking in public
他 把 球 踢 進 了 球門,He kicked the ball into the goal
他 十七 歲 的 時候 離開 了 高中,He left high school at seventeen
他 把 眼镜 落 在 我们 这里 了,He left his glasses at our place
他 住 在 大阪 附近 一座 鎮上,He lives in a village near Osaka
他 住 在 東 京郊 區,He lives in the suburbs of Tokyo
他 看 起來 有點 累 不是 嗎,He looks a bit tired doesn't he
他 爱 笑 以及 享受 生活,He loved to laugh and enjoy life
他 愛 她 她 也 愛他,He loves her She loves him too
他 經常 駕駛 他 的 父親 的車,He often drives his father's car
他將 他 的 成功 歸 於 好運,He owes his success to good luck
他 按 下 按 鈕然 後 等待 著,He pressed the button and waited
他 被 证实 是 个 理想 丈夫,He proved to be an ideal husband
他 把 信读 了 一遍 又 一遍,He read the letter over and over
他 辞职 后 逃离 了 这个 国家,He resigned and fled the country
他 冒 着 失去 所有 财产 的 危险,He risked losing all his fortune
他 說 ： 「 我想 成為 醫生 」,He said I want to be a doctor
他 刮下 靴子 上 的 泥巴,He scraped the mud off his boots
他 應該 買 一輛 二手 車的,He should have bought a used car
他 每年 冬天 在 北海道 滑雪,He skis in Hokkaido every winter
他 有 時 開車 去 上班,He sometimes goes to work by car
他 有 時 煮 晚飯給 我們 吃,He sometimes makes dinner for us
他 在 那裡 待 了 幾天,He stayed there a couple of days
他 故意 踩 我 的 腳,He stepped on my foot on purpose
他 说话 就 像 一位 老师,He talks as if he were a teacher
他 對 他 的 朋友 教英語,He teaches English to his friend
他 认为 我 非常 的 累,He thought that I was very tired
他 告诉 过 我 他 会 去 威尼斯,He told me he would go to Venice
他 告诉 我 他 那时 很 忙,He told me that he was busy then
他 给 我 讲述 了 他 的 一生,He told me the story of his life
昨天 他 帶 我 去 公園,He took me to the park yesterday
他 曾 經是 一個 富有 想像力 的 男孩,He used to be an imaginative boy
通常 他 早上 8 点去 上班,He usually goes to work at 8 am
他 通常 在 十一 點 上床 睡覺,He usually went to bed at eleven
他 想得到 一本 新 的 字典,He wants to get a new dictionary
他 被 一顆 子彈 打死 了,He was killed by a single bullet
他 被 他 的 朋友 嘲笑 了,He was laughed at by his friends
他 被 他 的 朋友 們 取笑 了,He was laughed at by his friends
尽管 下着雨 他 还是 出去 了,He went out in spite of the rain
他 擦 去 了 脸上 的 汗水,He wiped the sweat from his face
他 在 一間 很大 的 市立 醫院 工作,He worked in a big city hospital
他 不肯 聽 我 的 勸告,He would not listen to my advice
他 把 这记 在 他 的 笔记本 上,He wrote it down in his notebook
你 自己 拿 蛋糕 吃 吧,Help yourself to a piece of cake
她 的 父親 上 週 去世 了,Her father passed away last week
她 丈夫 是 個 優秀 的 廚師,Her husband is an excellent cook
她 的 樣子 在 說 她 愛 你,Her look says that she loves you
她 的 母親 去年 去世 了,Her mother passed away last year
她 的 紅色 禮服 使 她 引人注目,Her red dress made her stand out
喂 你 能 把 灯 关掉 吗,Hey can you turn the lights off
他 的 父親 去年 過世 了,His father passed away last year
他 的 母親 是 一位 英語 教師,His mother is an English teacher
他 的 衬衫 被 酱汁 弄脏了,His shirt was stained with sauce
他 的 兒子 被 學校 開 除了,His son was expelled from school
他 的 演說 激勵 了 所有 的 男孩,His speech inspired all the boys
他 的 妻子 生下 了 一對雙 胞胎 男孩,His wife gave birth to twin boys
他 的 妻子 為 他 開門 了,His wife opened the door for him
历史 不是 他 的 主修 课,History is not his major subject
你 怎麼 什麼 話 也 沒 說,How come you didn't say anything
你 為 什麼 都 不 說 話,How come you didn't say anything
你 怎么 从 你 的 房间 里 出来,How did you get out of your room
你 會 說 多少 種語 言,How many languages can you speak
在 這個 房間裡 有 多少 人,How many people are in this room
汤姆 在 这里 工作 了 几年,How many years did Tom work here
快點 否則 你 會 錯過 公車,Hurry up or you'll miss the bus
我 已经 和 这个 学生 谈过 话 了,I already talked to this student
我 是 网球 俱乐部 的 会员,I am a member of the tennis club
我 期待 她 的 來 信,I am expecting a letter from her
我準 時 到 達 了 車站,I arrived at the station on time
我問 了 每個 男孩 三個 問題,I asked each boy three questions
我 要求 他 明天 去 那裡,I asked him to go there tomorrow
我花 30 美元 買 了 一台 照相 機,I bought a camera for 30 dollars
我 在 這家店 買 了 這支手 錶,I bought this watch at the store
我 给 你 带 了 点 东西,I brought you a little something
我 可以 向 你 推薦 這本書,I can recommend this book to you
我 不能 相信 你 要 放弃,I can't believe you're giving up
我 不 懂 他 的 意思,I can't figure out what he means
我 不禁 欣賞 他 的 才 華,I can't help admiring his talent
我無法 想像 沒有 你 的 生活,I can't imagine life without you
我 不 記得 怎麼 去 那裡 了,I can't remember how to go there
我 不能 再 忍受 這種 痛苦 了,I can't stand this pain any more
我 把 盒子 扛 在 肩上,I carried the box on my shoulder
我 抓 到 他 偷 相機,I caught him stealing the camera
我 沒 有 得到 我 所有 想要 的,I didn't get everything I wanted
我 上 個 月 沒 上學,I didn't go to school last month
我 不 知道 它 是从 哪里 来 的,I didn't know where it came from
我 昨晚 一夜 沒 闔 眼,I didn't sleep a wink last night
我 不 允许 有人 在 课上 睡觉,I do not allow sleeping in class
我 不 指望 从 你 身上 得到 什么,I don't expect anything from you
我 不 知道 他 也 不 知道,I don't know and neither does he
我 不 知道 他 星期 幾會來,I don't know what day he'll come
我 不 知道 汤姆 往 哪 去 了,I don't know where Tom was going
